building,floor,class_no,capacity,no_boards,no_projector,allow_individual,has_window,has_Cam,has_docCam,has_outlets,has_lectureCap,has_touchScreen,image_url
ENG,B,32,41,4,1,0,0,1,0,1,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
ENG,B,29,80,4,1,0,1,1,0,0,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
ENG,B,21,35,4,1,0,0,1,0,0,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
ENG,B,20B,24,4,1,1,1,1,0,0,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
ENG,B,20A,25,4,1,1,1,1,0,0,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
ENG,B,18,36,4,1,0,0,1,0,0,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
ENG,B,16,36,4,1,0,1,1,0,0,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
ENG,B,15,35,4,1,0,0,1,0,0,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
ENG,B,11,34,4,1,0,0,1,0,1,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
ENG,B,06,18,2,1,1,0,1,0,0,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
ENG,B,05,34,4,1,0,0,1,0,1,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
ENG,1,20,20,0,1,1,1,1,0,0,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
ELC,B,15,27,0,1,0,0,1,0,0,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
ELC,B,13,27,0,1,0,0,1,0,0,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
ELC,B,12,28,0,1,0,0,1,0,0,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
ELC,B,10,40,0,1,0,1,1,0,0,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
ELC,B,09,28,0,1,0,1,1,0,0,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
ELC,B,07,25,0,1,1,1,1,0,0,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
ELC,B,06,24,0,1,1,1,1,0,0,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
ELC,B,04,21,0,1,1,1,1,0,0,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
ELC,B,03,21,0,1,1,1,1,0,0,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
ELC,1,15,60,0,1,0,1,1,0,0,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,Z,48,79,4,1,0,0,1,0,1,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,Z,33,34,4,1,0,1,1,0,0,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,Z,27,55,4,1,0,0,1,0,1,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,Z,26,35,4,1,0,0,1,0,1,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,Z,25,36,4,1,0,0,1,0,1,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,Z,24,58,4,1,0,0,1,0,1,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,Z,16C,23,4,1,1,1,1,0,0,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,Z,16B,23,4,1,1,1,1,0,0,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,Z,16A,23,4,1,1,1,1,0,0,0,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,Z,08,53,4,1,0,0,1,1,0,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,B,41,34,4,1,0,0,1,0,1,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,B,40,34,4,1,0,0,1,0,1,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,B,39,34,4,1,0,0,1,0,1,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,B,38,34,4,1,0,0,1,0,1,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,B,35,24,4,1,1,0,1,0,1,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
CASE,B,34,34,4,1,0,0,1,0,1,1,0,https://vegfest.istanbul/wp-content/uploads/2022/09/ege-ugur-amasya.jpg
